workers,rtt_ms,bandwidth_gbps,transmission_ms,projected_distributed_layer_p50_ms,whole_layer_relative_throughput,break_even_vs_resident,useful_90_percent_capacity
16,0.1,0.25,1.376256,5.078130001824856,0.7267734379926751,False,False
16,0.1,0.5,0.688128,4.390002001824856,0.8406943774663095,False,False
16,0.1,1.0,0.344064,4.045938001824855,0.9121864937958494,False,True
16,0.1,2.5,0.1376256,3.8394996018248553,0.961232030925564,False,True
16,0.1,5.0,0.0688128,3.7706868018248554,0.978773945959627,False,True
16,0.1,10.0,0.0344064,3.7362804018248554,0.9877872116336426,False,True
16,0.1,25.0,0.01376256,3.7156365618248555,0.993275294445756,False,True
16,0.1,100.0,0.00344064,3.7053146418248555,0.996042268135795,False,True
16,0.25,0.1,3.44064,7.2925140018248555,0.5060874753310673,False,False
16,0.25,0.25,1.376256,5.228130001824855,0.705921619912243,False,False
16,0.25,0.5,0.688128,4.540002001824855,0.8129181437621705,False,False
16,0.25,1.0,0.344064,4.195938001824856,0.8795768665778424,False,False
16,0.25,2.5,0.1376256,3.989499601824855,0.9250909558461524,False,True
16,0.25,5.0,0.0688128,3.9206868018248553,0.9413274220940611,False,True
16,0.25,10.0,0.0344064,3.8862804018248553,0.9496612746385993,False,True
16,0.25,25.0,0.01376256,3.8656365618248554,0.9547327952262927,False,True
16,0.25,100.0,0.00344064,3.8553146418248554,0.9572889226631541,False,True
16,0.5,0.1,3.44064,7.5425140018248555,0.48931297961224524,False,False
16,0.5,0.25,1.376256,5.478130001824855,0.6737061732325782,False,False
16,0.5,0.5,0.688128,4.790002001824855,0.770490283426597,False,False
16,0.5,1.0,0.344064,4.445938001824856,0.8301172887442775,False,False
16,0.5,2.5,0.1376256,4.239499601824855,0.8705390604144395,False,False
16,0.5,5.0,0.0688128,4.170686801824855,0.8849022176359973,False,False
16,0.5,10.0,0.0344064,4.136280401824855,0.8922630096285902,False,False
16,0.5,25.0,0.01376256,4.115636561824855,0.8967385590440915,False,False
16,0.5,100.0,0.00344064,4.105314641824855,0.8989932129439577,False,False
16,1.0,0.1,3.44064,8.042514001824856,0.4588925800020475,False,False
16,1.0,0.25,1.376256,5.978130001824855,0.6173586052617474,False,False
16,1.0,0.5,0.688128,5.290002001824855,0.6976651424190127,False,False
16,1.0,1.0,0.344064,4.945938001824856,0.7461981930704137,False,False
16,1.0,2.5,0.1376256,4.739499601824855,0.7787003502603913,False,False
16,1.0,5.0,0.0688128,4.670686801824855,0.790172871055719,False,False
16,1.0,10.0,0.0344064,4.636280401824855,0.7960368399088519,False,False
16,1.0,25.0,0.01376256,4.615636561824855,0.799597184606071,False,False
16,1.0,100.0,0.00344064,4.605314641824855,0.8013893266883455,False,False
16,2.0,0.1,3.44064,9.042514001824856,0.4081442394510194,False,False
16,2.0,0.25,1.376256,6.978130001824855,0.528888111719738,False,False
16,2.0,0.5,0.688128,6.290002001824855,0.5867486208953937,False,False
16,2.0,1.0,0.344064,5.945938001824856,0.6207010565645504,False,False
16,2.0,2.5,0.1376256,5.739499601824855,0.643026440637189,False,False
16,2.0,5.0,0.0688128,5.670686801824855,0.6508294548752596,False,False
16,2.0,10.0,0.0344064,5.636280401824855,0.6548024116765163,False,False
16,2.0,25.0,0.01376256,5.615636561824855,0.6572095539602882,False,False
16,2.0,100.0,0.00344064,5.605314641824855,0.6584197740590132,False,False
16,5.0,0.1,3.44064,12.042514001824856,0.3064684001563743,False,False
16,5.0,0.25,1.376256,9.978130001824855,0.3698739141828212,False,False
16,5.0,0.5,0.688128,9.290002001824856,0.39727117381406774,False,False
16,5.0,1.0,0.344064,8.945938001824855,0.4125503663503095,False,False
16,5.0,2.5,0.1376256,8.739499601824855,0.4222953450595011,False,False
16,5.0,5.0,0.0688128,8.670686801824855,0.42564678950498547,False,False
16,5.0,10.0,0.0344064,8.636280401824855,0.42734253964474817,False,False
16,5.0,25.0,0.01376256,8.615636561824855,0.4283664908003377,False,False
16,5.0,100.0,0.00344064,8.605314641824856,0.4288803086945993,False,False
16,10.0,0.1,3.44064,17.042514001824856,0.2165554917311388,False,False
16,10.0,0.25,1.376256,14.978130001824855,0.24640258827706468,False,False
16,10.0,0.5,0.688128,14.290002001824856,0.25826798341446683,False,False
16,10.0,1.0,0.344064,13.945938001824855,0.264639782531449,False,False
16,10.0,2.5,0.1376256,13.739499601824855,0.2686160418469545,False,False
16,10.0,5.0,0.0688128,13.670686801824855,0.2699681481626327,False,False
16,10.0,10.0,0.0344064,13.636280401824855,0.2706493186738888,False,False
16,10.0,25.0,0.01376256,13.615636561824855,0.27105967343074816,False,False
16,10.0,100.0,0.00344064,13.605314641824856,0.2712653177938544,False,False
16,20.0,0.1,3.44064,27.042514001824856,0.13647584687396117,False,False
16,20.0,0.25,1.376256,24.978130001824855,0.14775525628741495,False,False
16,20.0,0.5,0.688128,24.290002001824853,0.1519411155142239,False,False
16,20.0,1.0,0.344064,23.945938001824853,0.154124261063348,False,False
16,20.0,2.5,0.1376256,23.739499601824853,0.15546452376427933,False,False
16,20.0,5.0,0.0688128,23.670686801824854,0.155916473015708,False,False
16,20.0,10.0,0.0344064,23.636280401824855,0.15614343446843948,False,False
16,20.0,25.0,0.01376256,23.615636561824854,0.15627992878100136,False,False
16,20.0,100.0,0.00344064,23.605314641824855,0.1563482654647931,False,False
